x;y
119;93
117;93
114;93
113;93
111;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
110;93
107;91
99;86
95;83
88;78
84;75
81;72
77;69
73;65
66;59
63;55
59;52
56;49
49;42
45;38
42;35
38;32
31;25
28;21
24;18
21;15
17;11
10;5
7;1
3;-1
-3;-8
-6;-11
-10;-15
-13;-18
-20;-25
-24;-28
-27;-32
-31;-35
-38;-41
-41;-45
-45;-48
-48;-51
-52;-55
-59;-61
-63;-65
-66;-68
-70;-71
-77;-78
-80;-81
-88;-87
-92;-89
-97;-92
-101;-94
-106;-96
-110;-98
-118;-104
-121;-108
-125;-111
-128;-114
-135;-120
-139;-122
-142;-124
-146;-126
-153;-129
-156;-130
-159;-130
-161;-130
-166;-130
-168;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
-170;-130
