x;y
-154;117
-149;117
-146;114
-144;110
-141;105
-138;97
-138;97
-135;91
-133;91
-131;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-130;91
-127;91
-123;91
-119;91
-116;91
-112;91
-108;91
-108;91
-111;91
-116;91
-119;91
-122;91
-125;91
-128;91
-136;91
-140;91
-144;91
-148;91
-149;86
-149;82
-149;76
-149;72
-149;72
-149;71
-149;71
-149;71
-149;71
-149;70
-149;65
-149;60
-149;51
-149;46
-149;41
-149;39
-149;34
-149;31
-149;29
-149;26
-149;19
-149;16
-149;12
-149;5
-149;0
-149;-4
-149;-13
-149;-18
-149;-23
-149;-27
-149;-32
-149;-37
-148;-46
-146;-50
-142;-58
-140;-63
-138;-67
-137;-71
-137;-76
-137;-78
-137;-78
-137;-78
-137;-78
-137;-78
-137;-83
-137;-86
-137;-90
-137;-94
-137;-97
-137;-104
-137;-108
-137;-114
-137;-118
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
-137;-121
