x;y
146;-121
144;-121
142;-121
138;-121
136;-121
131;-124
128;-129
126;-134
121;-144
120;-149
120;-147
120;-142
120;-133
120;-129
120;-129
115;-123
112;-122
109;-121
102;-119
99;-117
95;-115
88;-108
85;-105
82;-101
78;-98
74;-100
72;-104
70;-109
68;-113
66;-117
64;-120
60;-113
59;-109
57;-106
55;-102
53;-101
53;-105
53;-108
53;-112
53;-119
52;-122
50;-124
47;-129
46;-132
44;-134
44;-138
44;-147
44;-152
44;-157
44;-161
44;-171
44;-175
44;-180
44;-185
44;-190
44;-186
44;-181
44;-176
44;-167
44;-163
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
44;-159
48;-159
52;-159
55;-159
63;-159
66;-159
72;-156
77;-154
89;-148
94;-145
100;-142
103;-142
107;-142
114;-142
118;-142
127;-141
132;-139
138;-137
143;-135
149;-133
156;-131
156;-131
156;-131
156;-131
156;-131
156;-131
156;-131
156;-131
156;-131
156;-131
156;-130
156;-128
156;-124
156;-122
156;-119
156;-119
156;-119
156;-119
156;-119
156;-118
156;-115
156;-111
156;-108
156;-104
156;-100
150;-97
147;-97
144;-97
141;-97
135;-97
127;-97
123;-97
119;-97
115;-97
112;-97
107;-93
98;-84
93;-79
88;-74
80;-67
76;-65
71;-63
66;-60
62;-58
53;-53
50;-50
46;-46
43;-43
39;-39
33;-31
26;-24
23;-20
20;-16
17;-13
13;-9
7;-2
3;1
0;4
-2;8
-6;11
-9;14
-19;25
-23;28
-26;32
-29;35
-33;39
-36;42
-39;46
-45;53
-48;58
-51;63
-56;72
-59;76
-60;81
-60;83
-60;83
-60;83
-60;83
-61;83
-68;88
-71;91
-74;94
-77;98
-84;103
-88;101
-91;99
-95;98
