x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-114
120;-111
120;-108
120;-101
120;-98
120;-94
120;-90
120;-83
120;-79
120;-76
120;-73
120;-66
120;-63
120;-59
120;-56
120;-50
120;-46
120;-43
120;-40
120;-34
120;-31
120;-29
120;-26
120;-21
120;-18
120;-15
120;-11
120;-5
120;-2
120;2
120;7
120;16
120;21
120;26
120;29
120;34
120;36
120;39
120;41
120;48
120;51
120;54
120;57
120;64
120;68
120;71
120;75
120;82
120;86
120;88
120;90
120;94
120;96
120;98
120;100
120;104
120;106
120;108
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;111
120;112
120;116
120;117
120;119
120;120
