x;y
120;120
119;119
117;117
114;112
112;109
111;106
109;105
109;105
109;105
109;105
109;105
106;102
103;100
100;97
97;95
91;90
88;90
86;90
83;90
77;90
74;90
70;90
61;84
57;81
52;78
47;75
43;72
37;65
34;62
31;59
27;56
21;49
18;46
14;42
11;39
4;32
1;29
-1;25
-5;22
-11;15
-15;12
-18;8
-21;5
-28;-1
-31;-4
-35;-7
-38;-11
-45;-18
-48;-21
-52;-24
-55;-28
-62;-35
-65;-38
-68;-41
-72;-45
-78;-53
-80;-57
-82;-62
-85;-67
-89;-76
-92;-81
-94;-85
-97;-88
-101;-95
-104;-98
-106;-101
-109;-104
-111;-108
-116;-114
-119;-117
-121;-121
-125;-123
-127;-123
-129;-123
-131;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
-132;-123
