x;y
152;-120
152;-114
152;-110
152;-107
152;-104
152;-100
152;-93
149;-89
144;-84
140;-79
135;-75
126;-69
121;-66
119;-64
128;-60
133;-57
137;-55
142;-53
151;-48
151;-48
160;-44
164;-44
171;-44
167;-44
163;-44
160;-44
156;-44
148;-44
144;-44
137;-44
133;-44
133;-44
125;-44
124;-44
124;-44
124;-44
124;-44
124;-44
118;-44
114;-44
111;-44
107;-44
103;-44
100;-44
95;-44
93;-44
91;-44
86;-44
83;-44
80;-44
74;-44
72;-44
68;-44
65;-44
61;-44
53;-44
49;-44
46;-44
40;-44
37;-44
31;-39
31;-39
24;-35
21;-33
18;-31
15;-28
8;-21
5;-18
1;-14
-1;-11
-5;-8
-12;-1
-15;1
-18;4
-22;8
-30;13
-35;15
-39;17
-43;19
-52;24
-55;27
-62;34
-65;37
-69;40
-72;43
-79;48
-83;50
-86;52
-89;55
-96;60
-99;63
-102;66
-105;69
-110;74
-112;74
-114;74
-117;74
-120;74
-120;74
-122;74
-125;82
-127;87
-128;92
-131;101
-133;102
-135;102
-136;102
-137;102
-137;102
-137;104
-137;108
-137;110
-137;112
-137;114
-137;115
-137;115
