time;x;y;fx;fy
63;120;-120;0;33
126;120;-120;0;33
189;120;-120;0;33
252;120;-120;0;33
315;120;-120;0;46
378;120;-120;0;46
441;120;-120;0;46
504;120;-120;0;46
567;120;-120;0;46
630;120;-120;0;46
693;120;-114;0;201
756;120;-111;0;201
819;120;-108;0;201
882;120;-101;0;201
945;120;-98;0;323
1008;120;-94;0;323
1071;120;-90;0;323
1134;120;-83;0;323
1197;120;-79;0;323
1260;120;-76;0;225
1323;120;-73;0;225
1386;120;-66;0;225
1449;120;-63;0;225
1512;120;-59;0;225
1575;120;-56;0;225
1638;120;-50;0;225
1701;120;-46;0;225
1764;120;-43;0;225
1827;120;-40;0;225
1890;120;-34;0;181
1953;120;-31;0;181
2016;120;-29;0;181
2079;120;-26;0;181
2142;120;-21;0;226
2205;120;-18;0;226
2268;120;-15;0;226
2331;120;-11;0;226
2394;120;-5;0;226
2457;120;-2;0;226
2520;120;2;0;251
2583;120;7;0;251
2646;120;16;0;251
2709;120;21;0;251
2772;120;26;0;251
2835;120;29;0;177
2898;120;34;0;177
2961;120;36;0;177
3024;120;39;0;177
3087;120;41;0;177
3150;120;48;0;197
3213;120;51;0;197
3276;120;54;0;197
3339;120;57;0;197
3402;120;64;0;240
3465;120;68;0;240
3528;120;71;0;240
3591;120;75;0;240
3654;120;82;0;240
3717;120;86;0;142
3780;120;88;0;142
3843;120;90;0;142
3906;120;94;0;142
3969;120;96;0;142
4032;120;98;0;141
4095;120;100;0;141
4158;120;104;0;141
4221;120;106;0;141
4284;120;108;0;141
4347;120;110;0;90
4410;120;110;0;90
4473;120;110;0;90
4536;120;110;0;90
4599;120;110;0;90
4662;120;110;0;37
4725;120;110;0;37
4788;120;110;0;37
4851;120;110;0;37
4914;120;110;0;37
4977;120;110;0;43
5040;120;110;0;43
5103;120;110;0;43
5166;120;110;0;43
5229;120;110;0;43
5292;120;111;0;121
5355;120;112;0;121
5418;120;116;0;121
5481;120;117;0;121
5544;120;119;0;121
5607;120;120;0;0
5670;120;120;0;0
5733;120;120;0;0
5796;119;119;-125;-179
5859;117;117;-125;-179
5922;114;112;-125;-179
5985;112;109;-125;-179
6048;111;106;-125;-179
6111;109;105;-64;-108
6174;109;105;-64;-108
6237;109;105;-64;-108
6300;109;105;-64;-108
6363;109;105;-64;-108
6426;106;102;-197;-173
6489;103;100;-197;-173
6552;100;97;-197;-173
6615;97;95;-197;-173
6678;91;90;-197;-173
6741;88;90;-192;-106
6804;86;90;-192;-106
6867;83;90;-192;-106
6930;77;90;-192;-106
6993;74;90;-192;-106
7056;70;90;-261;-106
7119;61;84;-261;-211
7182;57;81;-261;-211
7245;52;78;-261;-211
7308;47;75;-261;-211
7371;43;72;-199;-211
7434;37;65;-199;-198
7497;34;62;-199;-198
7560;31;59;-199;-198
7623;27;56;-199;-198
7686;21;49;-225;-316
7749;18;46;-225;-316
7812;14;42;-225;-316
7875;11;39;-225;-316
7938;4;32;-242;-316
8001;1;29;-242;-348
8064;-1;25;-242;-348
8127;-5;22;-242;-348
8190;-11;15;-242;-348
8253;-15;12;-227;-348
8316;-18;8;-227;-367
8379;-21;5;-227;-367
8442;-28;-1;-227;-367
8505;-31;-4;-227;-367
8568;-35;-7;-264;-367
8631;-38;-11;-264;-342
8694;-45;-18;-264;-342
8757;-48;-21;-264;-342
8820;-52;-24;-264;-342
8883;-55;-28;-264;-342
8946;-62;-35;-222;-333
9009;-65;-38;-222;-333
9072;-68;-41;-222;-333
9135;-72;-45;-222;-333
9198;-78;-53;-154;-333
9261;-80;-57;-154;-266
9324;-82;-62;-154;-266
9387;-85;-67;-154;-266
9450;-89;-76;-154;-266
9513;-92;-81;-159;-266
9576;-94;-85;-159;-205
9639;-97;-88;-159;-205
9702;-101;-95;-159;-205
9765;-104;-98;-159;-205
